history_key,state,next_word
,N/A,stair
stairGGGGG,GGGGG,OKAY
stairBBGBB,N/A,aleck
stairYBGBB,N/A,alecs
stairBYGBB,N/A,loche
stairBBYBB,N/A,dynel
stairBYYBB,N/A,clone
stairBBYBG,N/A,pagle
stairBBYYB,N/A,agile
stairBBYYBagileGGGGG,GGGGG,OKAY
stairBYYBY,N/A,aorta
stairBYYBYaortaGGGGG,GGGGG,OKAY
stairYBYBB,N/A,camel
stairBBYBY,N/A,beray
stairBBYGY,N/A,acrid
stairBBYGYacridGGGGG,GGGGG,OKAY
stairBYYBG,N/A,actor
stairBYYBGactorGGGGG,GGGGG,OKAY
stairBBYGB,N/A,admin
stairBBYGBadminGGGGG,GGGGG,OKAY
stairBYYGB,N/A,admit
stairBYYGBadmitGGGGG,GGGGG,OKAY
stairBBYYY,N/A,cairn
stairBBYYYcairnGGGGG,GGGGG,OKAY
stairBBGGB,N/A,avail
stairBBGGBavailGGGGG,GGGGG,OKAY
stairBBYYG,N/A,aider
stairBBYYGaiderGGGGG,GGGGG,OKAY
stairYBYYB,N/A,aisle
stairYBYYBaisleGGGGG,GGGGG,OKAY
stairBBGBY,N/A,decry
stairBYYYB,N/A,faint
stairBYYYBfaintGGGGG,GGGGG,OKAY
stairYYYBB,N/A,baste
stairYYYBBbasteGGGGG,GGGGG,OKAY
stairBYGBY,N/A,tract
stairBYGBYtractGGGGG,GGGGG,OKAY
stairYBYYY,N/A,arise
stairYBYYYariseGGGGG,GGGGG,OKAY
stairYBYBY,N/A,harsh
stairYBYBYharshGGGGG,GGGGG,OKAY
stairYYYBY,N/A,artsy
stairYYYBYartsyGGGGG,GGGGG,OKAY
stairBGYBB,N/A,atoll
stairBGYBBatollGGGGG,GGGGG,OKAY
stairBGYGB,N/A,attic
stairBGYGBatticGGGGG,GGGGG,OKAY
stairBYGGB,N/A,await
stairBYGGBawaitGGGGG,GGGGG,OKAY
stairYBYGB,N/A,basic
stairYBYGBbasicGGGGG,GGGGG,OKAY
stairYYGBB,N/A,beast
stairYYGBBbeastGGGGG,GGGGG,OKAY
stairBBBBB,N/A,holed
stairBYBGB,N/A,oncet
stairBYBBB,N/A,doeth
stairBBBGB,N/A,coude
stairBBBYB,N/A,dynel
stairBYBBY,N/A,chout
stairBBBBY,N/A,clone
stairYYBBB,N/A,bogue
stairBYBYB,N/A,tenth
stairBBBYY,N/A,arpen
stairBYBYY,N/A,arett
stairYBBYB,N/A,bison
stairYBBYBbisonGGGGG,GGGGG,OKAY
stairYBBBB,N/A,holme
stairBBBBG,N/A,dowel
stairBBGGY,N/A,brain
stairBBGGYbrainGGGGG,GGGGG,OKAY
stairYBGBY,N/A,brass
stairYBGBYbrassGGGGG,GGGGG,OKAY
stairYBBYY,N/A,brisk
stairYBBYYbriskGGGGG,GGGGG,OKAY
stairBBBGY,N/A,lurid
stairBBBGYluridGGGGG,GGGGG,OKAY
stairYBBBY,N/A,ceros
stairYYBBY,N/A,crest
stairYYBBYcrestGGGGG,GGGGG,OKAY
stairBBGGG,N/A,chair
stairBBGGGchairGGGGG,GGGGG,OKAY
stairBBBGG,N/A,choir
stairBBBGGchoirGGGGG,GGGGG,OKAY
stairBBBYG,N/A,vined
stairBYBBG,N/A,motor
stairBYBBGmotorGGGGG,GGGGG,OKAY
stairBBGYY,N/A,diary
stairBBGYYdiaryGGGGG,GGGGG,OKAY
stairBYBGY,N/A,fruit
stairBYBGYfruitGGGGG,GGGGG,OKAY
stairYYBBG,N/A,ester
stairYYBBGesterGGGGG,GGGGG,OKAY
stairBGBBG,N/A,other
stairBGBBGotherGGGGG,GGGGG,OKAY
stairBGBGB,N/A,ethic
stairBGBGBethicGGGGG,GGGGG,OKAY
stairYGBBB,N/A,ethos
stairYGBBBethosGGGGG,GGGGG,OKAY
stairBGBBB,N/A,etude
stairBGBBBetudeGGGGG,GGGGG,OKAY
stairYYBYB,N/A,foist
stairYYBYBfoistGGGGG,GGGGG,OKAY
stairYYBYY,N/A,first
stairYYBYYfirstGGGGG,GGGGG,OKAY
stairBYGYB,N/A,giant
stairBYGYBgiantGGGGG,GGGGG,OKAY
stairBBGYB,N/A,inane
stairBBGYBinaneGGGGG,GGGGG,OKAY
stairBYBYG,N/A,tiger
stairBYBYGtigerGGGGG,GGGGG,OKAY
stairBYGYY,N/A,irate
stairBYGYYirateGGGGG,GGGGG,OKAY
stairBGBYB,N/A,itchy
stairBGBYBitchyGGGGG,GGGGG,OKAY
stairYBBBG,N/A,loser
stairYBBBGloserGGGGG,GGGGG,OKAY
stairYBBYG,N/A,miser
stairYBBYGmiserGGGGG,GGGGG,OKAY
stairYBBGB,N/A,music
stairYBBGBmusicGGGGG,GGGGG,OKAY
stairBBYGG,N/A,nadir
stairBBYGGnadirGGGGG,GGGGG,OKAY
