current_progress,state,next_word
,,aesir
aesirBBBBB,BBBBB,bludy
aesirBBBBBbludyBBBBB,BBBBB,champ
aesirBBBBBbludyBBBBBchampBBBBB,BBBBB,known
aesirBBBBBbludyBBBBBchampBBBBBknownGGGGG,GGGGG,OKAY
aesirBBBBBbludyBBBBBchampBBBYB,BBBYB,motto
aesirBBBBBbludyBBBBBchampBBBYBmottoGGGGG,GGGGG,OKAY
aesirBBBBBbludyBBBBBchampBYBBB,BYBBB,tooth
aesirBBBBBbludyBBBBBchampBYBBBtoothGGGGG,GGGGG,OKAY
aesirBBBBBbludyBBBBBchampBYBYB,BYBYB,month
aesirBBBBBbludyBBBBBchampBYBYBmonthGGGGG,GGGGG,OKAY
aesirBBBBBbludyBBBBBchampBGBBB,BGBBB,thong
aesirBBBBBbludyBBBBBchampBGBBBthongGGGGG,GGGGG,OKAY
aesirBBBBBbludyBBBBBchampBGBBY,BGBBY,photo
aesirBBBBBbludyBBBBBchampBGBBYphotoGGGGG,GGGGG,OKAY
aesirBBBBBbludyBBBBBchampBGBBG,BGBBG,whoop
aesirBBBBBbludyBBBBBchampBGBBGwhoopGGGGG,GGGGG,OKAY
aesirBBBBBbludyBBBBBchampYBBBB,YBBBB,knock
aesirBBBBBbludyBBBBBchampYBBBBknockGGGGG,GGGGG,OKAY
aesirBBBBBbludyBBBBBchampYYBBB,YYBBB,notch
aesirBBBBBbludyBBBBBchampYYBBBnotchGGGGG,GGGGG,OKAY
aesirBBBBBbludyBBBBBchampYYBBY,YYBBY,pooch
aesirBBBBBbludyBBBBBchampYYBBYpoochGGGGG,GGGGG,OKAY
aesirBBBBBbludyBBBBBchampGYBBB,GYBBB,conch
aesirBBBBBbludyBBBBBchampGYBBBconchGGGGG,GGGGG,OKAY
aesirBBBBBbludyBBBBBchampGGBBB,GGBBB,chock
aesirBBBBBbludyBBBBBchampGGBBBchockGGGGG,GGGGG,OKAY
aesirBBBBBbludyBBBBY,BBBBY,nymph
aesirBBBBBbludyBBBBYnymphGGGGG,GGGGG,OKAY
aesirBBBBBbludyBBBBG,BBBBG,among
aesirBBBBBbludyBBBBGamongBBYBB,BBYBB,poppy
aesirBBBBBbludyBBBBGamongBBYBBpoppyGGGGG,GGGGG,OKAY
aesirBBBBBbludyBBBBGamongBBYBY,BBYBY,foggy
aesirBBBBBbludyBBBBGamongBBYBYfoggyGGGGG,GGGGG,OKAY
aesirBBBBBbludyBBBBGamongBBGBB,BBGBB,woozy
aesirBBBBBbludyBBBBGamongBBGBBwoozyGGGGG,GGGGG,OKAY
aesirBBBBBbludyBBBBGamongBBGBY,BBGBY,goofy
aesirBBBBBbludyBBBBGamongBBGBYgoofyGGGGG,GGGGG,OKAY
aesirBBBBBbludyBBBBGamongBBGGB,BBGGB,phony
aesirBBBBBbludyBBBBGamongBBGGBphonyGGGGG,GGGGG,OKAY
aesirBBBBBbludyBBBBGamongBYBBY,BYBBY,pygmy
aesirBBBBBbludyBBBBGamongBYBBYpygmyGGGGG,GGGGG,OKAY
aesirBBBBBbludyBBBBGamongBYYBB,BYYBB,comfy
aesirBBBBBbludyBBBBGamongBYYBBcomfyGGGGG,GGGGG,OKAY
aesirBBBBBbludyBBBYG,BBBYG,aargh
aesirBBBBBbludyBBBYGaarghBBBBB,BBBBB,downy
aesirBBBBBbludyBBBYGaarghBBBBBdownyGGGGG,GGGGG,OKAY
aesirBBBBBbludyBBBYGaarghBBBGB,BBBGB,dodgy
aesirBBBBBbludyBBBYGaarghBBBGBdodgyGGGGG,GGGGG,OKAY
aesirBBBBBbludyBBBGB,BBBGB,condo
aesirBBBBBbludyBBBGBcondoGGGGG,GGGGG,OKAY
aesirBBBBBbludyBBBGG,BBBGG,whomp
aesirBBBBBbludyBBBGGwhompBBYBB,BBYBB,toddy
aesirBBBBBbludyBBBGGwhompBBYBBtoddyGGGGG,GGGGG,OKAY
aesirBBBBBbludyBBBGGwhompBBGBB,BBGBB,goody
aesirBBBBBbludyBBBGGwhompBBGBBgoodyGGGGG,GGGGG,OKAY
aesirBBBBBbludyBBBGGwhompBBGYB,BBGYB,moody
aesirBBBBBbludyBBBGGwhompBBGYBmoodyGGGGG,GGGGG,OKAY
aesirBBBBBbludyBBBGGwhompYBYBB,YBYBB,dowdy
aesirBBBBBbludyBBBGGwhompYBYBBdowdyGGGGG,GGGGG,OKAY
aesirBBBBBbludyBBBGGwhompYYYBB,YYYBB,howdy
aesirBBBBBbludyBBBGGwhompYYYBBhowdyGGGGG,GGGGG,OKAY
aesirBBBBBbludyBBBGGwhompGBGBB,GBGBB,woody
aesirBBBBBbludyBBBGGwhompGBGBBwoodyGGGGG,GGGGG,OKAY
aesirBBBBBbludyBBYBB,BBYBB,adopt
aesirBBBBBbludyBBYBBadoptBBBBB,BBBBB,abamp
aesirBBBBBbludyBBYBBadoptBBBBBabampBBBBB,BBBBB,hunch
aesirBBBBBbludyBBYBBadoptBBBBBabampBBBBBhunchGGGGG,GGGGG,OKAY
aesirBBBBBbludyBBYBBadoptBBBBBabampBBBYB,BBBYB,munch
aesirBBBBBbludyBBYBBadoptBBBBBabampBBBYBmunchGGGGG,GGGGG,OKAY
aesirBBBBBbludyBBYBBadoptBBBBY,BBBBY,hutch
aesirBBBBBbludyBBYBBadoptBBBBYhutchGGGGG,GGGGG,OKAY
aesirBBBBBbludyBBYBBadoptBBBBG,BBBBG,uncut
aesirBBBBBbludyBBYBBadoptBBBBGuncutGGGGG,GGGGG,OKAY
aesirBBBBBbludyBBYBBadoptBBBYB,BBBYB,punch
aesirBBBBBbludyBBYBBadoptBBBYBpunchGGGGG,GGGGG,OKAY
aesirBBBBBbludyBBYBBadoptBBBGB,BBBGB,humph
aesirBBBBBbludyBBYBBadoptBBBGBhumphGGGGG,GGGGG,OKAY
aesirBBBBBbludyBBYBBadoptBBYBY,BBYBY,aargh
aesirBBBBBbludyBBYBBadoptBBYBYaarghBBBBB,BBBBB,junto
aesirBBBBBbludyBBYBBadoptBBYBYaarghBBBBBjuntoGGGGG,GGGGG,OKAY
aesirBBBBBbludyBBYBBadoptBBYBYaarghBBBGB,BBBGB,outgo
aesirBBBBBbludyBBYBBadoptBBYBYaarghBBBGBoutgoGGGGG,GGGGG,OKAY
aesirBBBBBbludyBBYBBadoptBBYBG,BBYBG,ought
aesirBBBBBbludyBBYBBadoptBBYBGoughtGGGGG,GGGGG,OKAY
aesirBBBBBbludyBBYBBadoptBBGBY,BBGBY,quoth
aesirBBBBBbludyBBYBBadoptBBGBYquothGGGGG,GGGGG,OKAY
aesirBBBBBbludyBBYBG,BBYBG,kempt
aesirBBBBBbludyBBYBGkemptBBBBB,BBBBB,aband
aesirBBBBBbludyBBYBGkemptBBBBBabandBBBBB,BBBBB,fuzzy
aesirBBBBBbludyBBYBGkemptBBBBBabandBBBBBfuzzyGGGGG,GGGGG,OKAY
aesirBBBBBbludyBBYBGkemptBBBBBabandBBBGB,BBBGB,funny
aesirBBBBBbludyBBYBGkemptBBBBBabandBBBGBfunnyGGGGG,GGGGG,OKAY
aesirBBBBBbludyBBYBGkemptBBBBY,BBBBY,nutty
aesirBBBBBbludyBBYBGkemptBBBBYnuttyGGGGG,GGGGG,OKAY
aesirBBBBBbludyBBYBGkemptBBBYB,BBBYB,puffy
aesirBBBBBbludyBBYBGkemptBBBYBpuffyGGGGG,GGGGG,OKAY
aesirBBBBBbludyBBYBGkemptBBBYY,BBBYY,putty
aesirBBBBBbludyBBYBGkemptBBBYYputtyGGGGG,GGGGG,OKAY
aesirBBBBBbludyBBYBGkemptBBBGB,BBBGB,aargh
aesirBBBBBbludyBBYBGkemptBBBGBaarghBBBBB,BBBBB,puppy
aesirBBBBBbludyBBYBGkemptBBBGBaarghBBBBBpuppyGGGGG,GGGGG,OKAY
aesirBBBBBbludyBBYBGkemptBBBGBaarghBBBYB,BBBYB,guppy
aesirBBBBBbludyBBYBGkemptBBBGBaarghBBBYBguppyGGGGG,GGGGG,OKAY
aesirBBBBBbludyBBYBGkemptBBGBB,BBGBB,aargh
aesirBBBBBbludyBBYBGkemptBBGBBaarghBBBBB,BBBBB,mummy
aesirBBBBBbludyBBYBGkemptBBGBBaarghBBBBBmummyGGGGG,GGGGG,OKAY
aesirBBBBBbludyBBYBGkemptBBGBBaarghBBBYB,BBBYB,gummy
aesirBBBBBbludyBBYBGkemptBBGBBaarghBBBYBgummyGGGGG,GGGGG,OKAY
aesirBBBBBbludyBBYBGkemptBBGGB,BBGGB,jumpy
aesirBBBBBbludyBBYBGkemptBBGGBjumpyGGGGG,GGGGG,OKAY
aesirBBBBBbludyBBYBGkemptYBBBB,YBBBB,aahed
aesirBBBBBbludyBBYBGkemptYBBBBaahedBBBBB,BBBBB,funky
aesirBBBBBbludyBBYBGkemptYBBBBaahedBBBBBfunkyGGGGG,GGGGG,OKAY
aesirBBBBBbludyBBYBGkemptYBBBBaahedBBYBB,BBYBB,hunky
aesirBBBBBbludyBBYBGkemptYBBBBaahedBBYBBhunkyGGGGG,GGGGG,OKAY
aesirBBBBBbludyBBYBGkemptYBYBB,YBYBB,mucky
aesirBBBBBbludyBBYBGkemptYBYBBmuckyGGGGG,GGGGG,OKAY
aesirBBBBBbludyBBYYB,BBYYB,aahed
aesirBBBBBbludyBBYYBaahedBBBBY,BBBBY,donut
aesirBBBBBbludyBBYYBaahedBBBBYdonutGGGGG,GGGGG,OKAY
aesirBBBBBbludyBBYYBaahedBBYBY,BBYBY,dutch
aesirBBBBBbludyBBYYBaahedBBYBYdutchGGGGG,GGGGG,OKAY
